,1000000PEIPEIUSDT,1000000MOGUSDT,Spread,ZScore
0,0.05216,1.196,-0.007640000000000001,
1,0.0516,1.1982,-0.008309999999999998,
2,0.05119,1.2184,-0.009730000000000003,
3,0.05063,1.191,-0.008920000000000004,
4,0.05055,1.1611,-0.007505000000000005,
5,0.0498,1.1267,-0.006535000000000006,
6,0.04992,1.0983,-0.004995000000000006,
7,0.05,1.0761,-0.003805000000000003,
8,0.0502,1.0861,-0.0041050000000000045,
9,0.04998,1.1054,-0.005290000000000003,
10,0.05123,1.1481,-0.006175,
11,0.05165,1.1764,-0.007169999999999996,
12,0.05076,1.108,-0.004640000000000005,
13,0.05079,1.1128,-0.00485,
14,0.0509,1.1089,-0.004545,
15,0.05065,1.0948,-0.004090000000000003,
16,0.05038,1.1128,-0.005260000000000001,
17,0.05086,1.0867,-0.003474999999999999,
18,0.05089,1.0805,-0.003135000000000006,
19,0.04929,1.0868,-0.005049999999999999,
20,0.05025,1.1163,-0.0055650000000000005,0.1012095771202528
21,0.04996,1.0743,-0.0037550000000000083,0.9832886465990044
22,0.04831,1.0252,-0.0029500000000000012,1.3013733498647975
23,0.04992,1.0475,-0.002455000000000006,1.5570093051709915
24,0.04906,1.029,-0.0023899999999999963,1.5824860024209437
25,0.04962,1.0427,-0.0025150000000000033,1.413295351819025
26,0.04945,1.0257,-0.0018350000000000033,1.7257101154253174
27,0.04997,1.0316,-0.0016100000000000073,1.655065073823213
28,0.04961,1.037,-0.002239999999999999,1.1339739586961617
29,0.0494,1.0565,-0.0034250000000000044,0.32917715759853944
30,0.04935,1.0542,-0.003360000000000009,0.3174421696188202
31,0.04974,1.0586,-0.0031900000000000053,0.35911903153300256
32,0.05034,1.0644,-0.0028800000000000006,0.5262751396417463
33,0.05069,1.0632,-0.00247,0.8003109493826084
34,0.0513,1.0835,-0.0028750000000000026,0.37832821749945317
35,0.05218,1.0961,-0.0026250000000000093,0.5381649707475333
36,0.05146,1.0835,-0.002715000000000002,0.3978261539342005
37,0.05215,1.0805,-0.0018750000000000017,1.13962849982108
38,0.05208,1.0873,-0.0022849999999999954,0.6517437150436057
39,0.05187,1.0787,-0.0020650000000000043,0.8134521998756369
40,0.05072,1.0551,-0.002034999999999995,0.7977672815633451
41,0.05115,1.0682,-0.002260000000000005,0.5374406293444021
42,0.05132,1.0667,-0.002015000000000003,0.9231403975882071
43,0.05116,1.07,-0.0023400000000000087,0.22446825944805363
44,0.05017,1.0721,-0.0034350000000000075,-1.7463617963827318
45,0.04998,1.0797,-0.0040050000000000086,-2.275933409037029
46,0.04997,1.0734,-0.003699999999999995,-1.5852631716235537
47,0.04953,1.0873,-0.004834999999999999,-2.5668695982676075
48,0.04996,1.1043,-0.00525500000000001,-2.49799680784109
49,0.04928,1.0919,-0.005315000000000007,-2.1312671301176054
50,0.04904,1.0702,-0.004470000000000002,-1.2250021410040195
51,0.04917,1.0393,-0.002794999999999999,0.2961523564665745
52,0.04852,1.0141,-0.0021849999999999994,0.8007452079926226
53,0.04939,1.0273,-0.0019750000000000045,0.9308510345236709
54,0.04932,1.018,-0.001579999999999998,1.202897431805573
55,0.04928,1.0211,-0.0017749999999999988,0.9663997417691731
56,0.04951,1.0282,-0.0019000000000000059,0.8195663555276561
57,0.04969,1.032,-0.001910000000000009,0.7680695628625824
58,0.04819,0.9949,-0.0015550000000000078,1.0312250644931706
59,0.04876,1.0104,-0.0017600000000000046,0.8357008926543038
60,0.04891,1.0237,-0.002275000000000006,0.4384543321722915
61,0.04986,1.0355,-0.001915000000000007,0.7173697755782643
62,0.0493,1.0498,-0.0031900000000000123,-0.2572832493379842
63,0.04977,1.0692,-0.003689999999999999,-0.5926095783597694
64,0.05012,1.0852,-0.004140000000000005,-0.8702623652348459
65,0.05132,1.1144,-0.004400000000000008,-1.0126329697356256
66,0.05008,1.0949,-0.0046650000000000025,-1.1638302784149772
67,0.0491,1.0576,-0.0037800000000000125,-0.49841388918792506
68,0.04866,1.0339,-0.003035000000000003,-0.006326714970487769
69,0.04866,1.036,-0.003140000000000004,-0.182074565010033
70,0.0502,1.0754,-0.003569999999999997,-0.6908423479986756
71,0.0507,1.0672,-0.0026599999999999957,0.09845984977529637
72,0.05323,1.1115,-0.002345,0.3951286076663233
73,0.05296,1.1232,-0.0032000000000000015,-0.4226264746397526
74,0.05194,1.1137,-0.0037449999999999983,-0.8877113172546427
75,0.05174,1.1232,-0.00442,-1.4208941955033063
76,0.05062,1.1102,-0.0048900000000000055,-1.677775653164191
77,0.05048,1.0807,-0.0035550000000000026,-0.32504922737174685
78,0.05072,1.0911,-0.003834999999999998,-0.5349707601371992
79,0.05123,1.0649,-0.002015000000000003,1.443403241932222
80,0.05089,1.0544,-0.0018300000000000052,1.658593386624907
81,0.05135,1.0457,-0.0009350000000000053,2.2745210592078275
82,0.05116,1.0216,7.99999999999898e-05,2.6435826343267856
83,0.05148,1.0282,6.999999999999368e-05,2.175789291318803
84,0.04917,0.9974,-0.0006999999999999992,1.4562037851217828
85,0.0487,0.9918,-0.0008900000000000019,1.2015767850467634
86,0.049,0.9842,-0.00021000000000000185,1.4716255429025444
87,0.04842,0.9867,-0.0009150000000000061,0.9371664743893116
88,0.04841,0.9867,-0.0009250000000000022,0.8455644632102534
89,0.04879,0.9815,-0.00028500000000000747,1.1446474471417525
90,0.04947,0.9705,0.0009449999999999945,1.681459320772621
91,0.04992,0.9823,0.0008050000000000002,1.4310900208004766
92,0.04965,0.993,0.0,0.8849786909144278
93,0.04902,0.9666,0.0006899999999999962,1.1573456739171415
94,0.04932,0.9617,0.001235,1.3121187907706557
95,0.04962,0.9735,0.0009449999999999945,1.0583350259666404
96,0.04975,0.9692,0.0012899999999999995,1.1734004696071088
97,0.04971,0.9774,0.0008399999999999935,0.8868964700684853
98,0.05005,0.993,0.0003999999999999976,0.5154322262866314
99,0.04993,0.9735,0.0012549999999999992,1.2642312408576626
100,0.05086,0.9903,0.001344999999999999,1.2857756945913081
101,0.05141,1.0008,0.0013699999999999962,1.2611876826509216
102,0.05118,1.0041,0.0009750000000000036,0.7181473721107019
103,0.04953,0.9903,1.4999999999994185e-05,-0.468302141073408
104,0.0496,0.987,0.0002499999999999933,-0.18847039848104055
105,0.04941,0.9975,-0.00046500000000000014,-1.1110144986204828
106,0.04983,1.002,-0.00027000000000000635,-0.9503913485973612
107,0.0499,0.9923,0.00028500000000000053,-0.2459663856470157
108,0.05104,1.0144,0.00032000000000000084,-0.3075369216230331
109,0.05075,1.01,0.0002500000000000002,-0.5682550400024119
110,0.04957,0.9873,0.0002050000000000038,-0.7193649907707297
111,0.04966,0.9735,0.0009849999999999998,0.681717666235617
112,0.05053,0.9682,0.002119999999999997,2.2458267045652374
113,0.05116,0.9966,0.001329999999999991,0.9306818945454806
114,0.05144,0.9898,0.0019499999999999934,1.6658349658987919
115,0.05183,1.0402,-0.0001799999999999996,-1.2592564691718564
116,0.05217,1.0358,0.0003799999999999984,-0.44101038240823764
117,0.05318,1.059,0.00023000000000000104,-0.5844541804796767
118,0.05363,1.0252,0.002369999999999997,2.045959424935071
119,0.05355,1.0767,-0.00028500000000000053,-1.166681087297869
120,0.05397,1.0767,0.00013499999999999623,-0.6004286512942837
121,0.05417,1.0948,-0.0005700000000000011,-1.3031288935558818
122,0.05367,1.0817,-0.00041500000000000564,-1.0192475979458955
123,0.05416,1.1161,-0.0016450000000000076,-2.056991039077108
124,0.05363,1.0969,-0.0012150000000000077,-1.463464845292184
125,0.05455,1.1145,-0.0011750000000000024,-1.2962567124547837
126,0.05391,1.1185,-0.002015000000000003,-1.8454165791764068
127,0.05431,1.177,-0.004540000000000009,-2.8881431700018134
128,0.05291,1.1174,-0.0029600000000000043,-1.6400593676837931
129,0.05602,1.1372,-0.0008400000000000005,-0.33561296776947536
130,0.05592,1.1218,-0.00017000000000000348,0.07828144291362948
131,0.0541,1.1245,-0.002125000000000002,-1.0048688218583404
132,0.05252,1.1015,-0.0025550000000000017,-1.138273648188916
133,0.05334,1.1056,-0.0019399999999999973,-0.7101462607435872
134,0.05365,1.1231,-0.0025050000000000003,-0.9619593617893423
135,0.05282,1.0666,-0.0005100000000000035,0.38233520069818583
136,0.05375,1.0542,0.0010399999999999923,1.3412213426202617
137,0.05325,1.0419,0.0011549999999999963,1.3533444880127938
138,0.05273,1.0519,0.00013499999999999623,0.7105843413780428
139,0.05212,1.0532,-0.0005399999999999988,0.4214229024634785
140,0.05212,1.062,-0.0009800000000000086,0.127436419620957
141,0.0523,1.0451,4.500000000000337e-05,0.8837329122084117
142,0.05211,1.0446,-0.00012000000000000205,0.7396495164260852
143,0.05314,1.1066,-0.0021900000000000044,-0.7004495818685155
144,0.05283,1.1087,-0.002605000000000003,-0.9468025757726024
145,0.05246,1.0956,-0.0023199999999999957,-0.6987625746676414
146,0.05018,1.0239,-0.001015000000000002,0.2074040407237819
147,0.04947,1.0416,-0.002610000000000008,-0.8737195875196123
148,0.04955,1.0678,-0.00384000000000001,-1.8324202320664722
149,0.05153,1.0466,-0.0008000000000000021,0.3033864454207774
150,0.05107,1.0186,0.0001399999999999943,0.9521789371339003
151,0.05172,1.0352,-3.999999999999837e-05,0.8125750481421472
152,0.05271,1.0506,0.0001799999999999996,0.8864229312110351
153,0.05217,1.0071,0.0018149999999999902,1.8073700852539063
154,0.05284,1.0268,0.0015000000000000013,1.4213443111589226
155,0.05347,1.0247,0.002234999999999994,1.6841841372065895
156,0.05521,1.0455,0.002934999999999993,1.8340671975274332
157,0.05611,1.0299,0.004614999999999994,2.318378071491803
158,0.06153,1.0478,0.009139999999999995,3.0974863829173906
159,0.06104,1.0256,0.009759999999999991,2.556405559415436
160,0.0634,1.0502,0.010889999999999997,2.315385035297173
161,0.06267,1.0323,0.011055000000000002,1.988939345591101
162,0.06298,1.0277,0.011594999999999987,1.8142119468103226
163,0.06186,1.041,0.00981,1.3139237432971749
164,0.06177,1.022,0.010669999999999992,1.3285929121303186
165,0.06191,1.0322,0.010299999999999997,1.1451496752004935
166,0.06164,1.0338,0.009949999999999994,0.9845636817984104
167,0.06153,1.0239,0.010334999999999997,0.9610617574381985
168,0.06332,1.0324,0.011700000000000002,1.1186230287796448
169,0.06291,1.0345,0.011184999999999994,0.952856562978139
170,0.06277,1.0317,0.011185,0.8736794831993258
171,0.0637,1.0541,0.010995000000000005,0.7569916651890457
172,0.06384,1.0528,0.011199999999999995,0.7353739998196142
173,0.06257,1.0747,0.008834999999999996,0.05100198205626023
174,0.06185,1.0602,0.00884,-0.0457723592162626
175,0.06228,1.0664,0.008959999999999996,-0.14057794013384148
176,0.06234,1.0621,0.009234999999999993,-0.2020665908072751
177,0.06439,1.0868,0.010050000000000003,0.023036852742738187
178,0.06605,1.1151,0.010294999999999999,0.010905054082525012
179,0.06573,1.1059,0.010434999999999986,0.10050340205166874
180,0.06551,1.0893,0.011045,0.7234078623623654
181,0.06332,1.0726,0.009689999999999997,-0.7450430929398425
182,0.06463,1.0791,0.010675000000000004,0.39105596359222616
183,0.06521,1.0946,0.010480000000000003,0.24222467581975313
184,0.06537,1.1117,0.009785000000000002,-0.5955453528424246
185,0.06421,1.1245,0.007984999999999999,-2.2523649991980945
186,0.06521,1.127,0.00886,-1.2209612071975766
187,0.06624,1.162,0.008139999999999994,-1.7072923778330877
188,0.06881,1.1937,0.009124999999999994,-0.7391496370545912
189,0.06872,1.1914,0.009149999999999998,-0.6443560132464091
190,0.06891,1.1683,0.010495000000000004,0.71165150459391
191,0.06612,1.1577,0.008235,-1.4085035377946773
192,0.06706,1.1616,0.008979999999999995,-0.5912972804849417
193,0.06625,1.1029,0.011105000000000004,1.6416605872563772
194,0.06488,1.0947,0.010144999999999987,0.5707178800715693
195,0.0695,1.1223,0.013385000000000001,2.880475203359259
196,0.06879,1.1262,0.012479999999999998,1.8477430711296947
197,0.06928,1.1277,0.012894999999999997,1.850441664537996
198,0.06835,1.1372,0.011489999999999993,0.8364834895663096
199,0.06896,1.1309,0.012414999999999989,1.3197269298665213
